,Player_Id,Year_x,Rnd,Pick,Tm,Player,Pos,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
0,MossRa00,1998,1,21,MIN,Randy Moss,WR,WR,73,21,2012,4,6,12,123,79,218,4,8,106,2,1,25,159,0,982,15292,156,26,1,,Marshall,1998,Marshall (WV),WR,75.6,194,9.63,34,17,4.38,,33,117,4.17,7.19,11.87
1,HoltTo00,1999,1,6,STL,Torry Holt,WR,WR,71,23,2009,1,7,11,99,96,173,,,,,,11,57,0,920,13382,74,19,,,North Carolina St.,1999,North Carolina State,WR,72.3,192,9.63,30.25,,4.44,,37,118,,,
4,JoneJu02,2011,1,6,ATL,Julio Jones,WR,WR,58,22,2016,1,3,5,54,54,75,,,,,,14,94,0,475,7306,39,6,,,Alabama,2011,Alabama,WR,74.75,220,9.75,33.75,,4.34,17,38.5,135,4.25,6.66,11.07
5,JohnCh01,2001,2,36,CIN,Chad Johnson,WR,WR,54,23,2011,2,6,7,87,85,166,0,1,0,0,0,24,175,0,766,11059,67,12,,,Oregon St.,2001,Oregon State,WR,73,192,9.5,32,,4.58,,33,108,4.14,7.51,
8,RisoAn00,1989,1,22,IND,Andre Rison,WR,WR,51,22,2000,1,5,10,77,5,186,,,,,,9,23,0,743,10205,84,,,Michigan St.,,1989,Michigan State,WR,70,187,,,,4.47,,35,114,3.96,,11.37
12,JohnKe00,1996,1,1,NYJ,Keyshawn Johnson,WR,WR,50,24,2006,0,3,10,78,34,167,0,5,0,0,2,13,91,2,814,10571,64,16,,,USC,1996,Southern California,WR,75.3,220,10.88,33.5,,,,31.5,125,4.25,,11.65
13,OwenTe00,1996,3,89,SFO,Terrell Owens,WR,WR,50,22,2010,5,6,13,119,74,219,,,,,,39,251,3,1078,15934,153,23,,,Tenn-Chattanooga,1996,Tennessee-Chattanooga,WR,74.9,213,10.5,34.5,,4.65,,33,120,4.26,,11.43
15,WaynRe00,2001,1,30,IND,Reggie Wayne,WR,WR,49,22,2014,1,6,12,117,117,211,0,1,0,0,1,4,0,0,1070,14345,82,36,,,Miami (FL),2001,Miami (FL),WR,72,198,9,32,,4.45,,36,,,,
17,BrowAn04,2010,6,195,PIT,Antonio Brown,WR,WR,48,22,2016,2,4,5,60,60,97,3,5,35,1,1,31,119,0,608,8091,48,13,,,Central Michigan,2010,Central Michigan,WR,70.13,186,,,,4.56,13,33.5,105,4.18,6.98,
18,JohnCa00,2007,1,2,DET,Calvin Johnson,WR,WR,48,22,2015,3,6,9,78,78,135,,,,,,19,167,1,731,11619,83,17,,,Georgia Tech,2007,Georgia Tech,WR,77,239,9.75,36,,4.38,,,,,,
19,JennGr00,2006,2,52,GNB,Greg Jennings,WR,WR,48,23,2015,0,2,8,65,54,143,,,,,,1,-1,0,571,8291,64,21,,,West. Michigan,2006,Western Michigan,WR,71.13,197,9.13,31,,4.47,,36.5,117,4.16,6.68,11.15
20,ColsMa00,2006,7,252,NOR,Marques Colston,WR,WR,48,23,2015,0,0,7,72,72,146,,,,,,2,7,0,711,9759,72,10,,,Hofstra,2006,Hofstra (NY),WR,76.63,224,9.5,33.38,,4.54,16,37,123,4.43,6.94,11.27
22,JackDe00,2008,2,49,PHI,DeSean Jackson,WR,WR,47,21,2016,0,3,9,60,51,122,0,1,0,0,1,61,380,3,480,8399,45,13,,,California,2008,California,WR,69.75,169,9.38,29.75,,4.4,,,120,,,
25,CobbRa00,2011,2,64,GNB,Randall Cobb,WR,WR,46,21,2016,0,1,2,43,43,77,0,1,0,0,0,50,335,0,354,4395,34,5,,,Kentucky,2011,Kentucky,WR,70.25,191,9.38,31,,4.46,16,33.5,115,4.34,7.08,11.56
