,Player_Id,Year_x,Rnd,Pick,Tm,Player,Position,Position Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,College/Univ,Unnamed: 32,Year_y,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
0,NewtCa00,2011,1,1,CAR,Cam Newton,QB,QB,83,22,2016,1,3,5,76,76,87,1615,2728,20449,128,71,661,3475,47,1,33,0,6,,,Auburn,,2011,Auburn,QB,77,248,9.88,33.75,21,4.56,35,126,4.18,6.92
2,RyanMa00,2008,1,3,ATL,Matt Ryan,QB,QB,73,23,2016,0,3,9,96,96,136,3151,4876,36004,226,112,307,832,5,,,,1,,,Boston Col.,,2008,Boston College,QB,76.75,228,9.5,32.63,32,4.94,,,4.51,7.4
3,WilsRu00,2012,3,75,SEA,Russell Wilson,QB,QB,70,23,2016,0,3,5,65,65,74,1344,2070,16688,117,36,450,2509,13,3,31,1,4,,,Wisconsin,,2012,Wisconsin,QB,70.63,204,10.25,31,28,4.53,34,118,4.09,6.97
4,CulpDa00,1999,1,11,MIN,Daunte Culpepper,QB,QB,64,22,2009,0,3,5,86,81,105,2016,3199,24153,149,106,514,2652,34,1,0,0,10,,,Central Florida,,1999,Central Florida,QB,75.8,255,9.5,30.25,18,4.52,39,122,4.13,7.21
5,BrooAa00,1999,4,131,GNB,Aaron Brooks,QB,QB,64,23,2006,0,0,6,65,,93,1673,2963,20261,123,92,362,1534,13,1,1,0,11,,,Virginia,,1999,Virginia,QB,75.5,203,9.5,32,17,4.59,35.5,118,4.29,7.52
6,DaltAn00,2011,2,35,CIN,Andy Dalton,QB,QB,61,23,2016,0,2,6,55,55,87,1789,2857,20768,135,79,296,905,17,1,18,1,5,,,TCU,,2011,Texas Christian,QB,74,215,9.5,31.75,29,4.83,29.5,106,4.27,6.93
7,FlacJo00,2008,1,18,BAL,Joe Flacco,QB,QB,61,23,2016,0,0,9,75,75,132,2739,4484,30965,172,111,297,693,15,2,35,0,6,,,Delaware,,2008,Delaware,QB,78.38,236,9.63,33.13,27,4.86,28.5,110,4.27,6.82
10,McNaDo00,1999,1,2,PHI,Donovan McNabb,QB,QB,57,22,2011,0,6,11,107,101,167,3170,5374,37276,234,117,616,3459,29,5,-7,0,13,,,Syracuse,,1999,Syracuse,QB,74.3,223,10,30.75,14,4.64,33,116,4.38,7.3
13,VickMi00,2001,1,1,ATL,Michael Vick,QB,QB,53,21,2015,0,4,7,93,58,143,1807,3217,22464,133,88,873,6109,36,2,1,0,9,,,Virginia Tech,,2001,Virginia Tech,QB,72,210,8.5,31.5,20,4.33,38,,,
14,BulgMa00,2000,6,168,NOR,Marc Bulger,QB,QB,53,23,2009,0,2,7,57,,96,1969,3171,22814,122,93,118,300,8,4,21,0,5,,,West Virginia,College Stats,2000,West Virginia,QB,73.6,208,9.25,30.63,29,4.96,,100,4.34,7.46
16,CutlJa00,2006,1,11,DEN,Jay Cutler,QB,QB,52,23,2016,0,1,9,83,28,139,2782,4491,32467,208,146,367,1650,9,,,,11,,,Vanderbilt,,2006,Vanderbilt,QB,75.25,226,9.38,31.5,26,4.81,,,4.26,7.1
19,BradTo00,2000,6,199,NWE,Tom Brady,QB,QB,51,23,2016,2,11,14,160,160,231,5098,7998,59943,444,151,523,939,17,2,59,0,9,,,Michigan,College Stats,2000,Michigan,QB,76.4,211,9.38,32.75,33,5.3,24.5,99,4.38,7.2
20,BreeDr00,2001,2,32,SDG,Drew Brees,QB,QB,49,22,2016,1,9,15,147,32,227,5663,8505,64180,454,213,399,722,15,7,73,1,13,,,Purdue,,2001,Purdue,QB,72.3,213,10.25,31,28,4.85,32,105,4.21,7.09
